recording,subject,n_drop,trial,method,temporal_r,rmse_uv,sdr_db,n_good
G001Day3Rest1.cnt,G001,48,1,spline,-0.6393,458.04,-11.575,14
G001Day3Rest1.cnt,G001,48,2,nearest,0.3061,107.942,1.355,14
G001Day3Rest1.cnt,G001,48,2,linear,0.9668,5.893,26.612,14
G001Day3Rest1.cnt,G001,48,2,spline,0.369,188.339,-3.48,14
G001Day3Rest2.cnt,G001,8,1,nearest,0.0045,178.92,-3.861,54
G001Day3Rest2.cnt,G001,8,1,linear,0.993,4.087,28.965,54
G001Day3Rest2.cnt,G001,8,1,spline,0.0185,150.734,-2.372,54
G001Day3Rest2.cnt,G001,8,2,nearest,0.0161,151.304,-3.008,54
G001Day3Rest2.cnt,G001,8,2,linear,0.9821,4.692,27.163,54
G001Day3Rest2.cnt,G001,8,2,spline,-0.2455,117.257,-0.794,54
G001Day3Rest2.cnt,G001,16,1,nearest,0.1366,202.278,-0.423,46
G001Day3Rest2.cnt,G001,16,1,linear,0.9984,3.744,34.229,46
G001Day3Rest2.cnt,G001,16,1,spline,0.8694,126.24,3.672,46
G001Day3Rest2.cnt,G001,16,2,nearest,0.0129,160.153,-3.166,46
G001Day3Rest2.cnt,G001,16,2,linear,0.9885,4.585,27.698,46
G001Day3Rest2.cnt,G001,16,2,spline,-0.1247,249.801,-7.027,46
G001Day3Rest2.cnt,G001,24,1,nearest,0.1731,173.47,-1.73,38
G001Day3Rest2.cnt,G001,24,1,linear,0.9923,4.496,29.998,38
G001Day3Rest2.cnt,G001,24,1,spline,0.3272,183.141,-2.201,38
G001Day3Rest2.cnt,G001,24,2,nearest,0.7636,105.818,3.761,38
G001Day3Rest2.cnt,G001,24,2,linear,0.9815,3.901,32.429,38
G001Day3Rest2.cnt,G001,24,2,spline,0.5724,130.598,1.934,38
G001Day3Rest2.cnt,G001,32,1,nearest,0.3469,146.377,0.261,30
G001Day3Rest2.cnt,G001,32,1,linear,0.9431,5.05,29.504,30
G001Day3Rest2.cnt,G001,32,1,spline,0.1798,168.747,-0.974,30
G001Day3Rest2.cnt,G001,32,2,nearest,0.1593,196.92,-0.949,30
G001Day3Rest2.cnt,G001,32,2,linear,0.9376,6.45,28.744,30
G001Day3Rest2.cnt,G001,32,2,spline,-0.6501,466.796,-8.446,30
G001Day3Rest2.cnt,G001,40,1,nearest,0.5597,178.221,0.753,22
G001Day3Rest2.cnt,G001,40,1,linear,0.9669,6.595,29.388,22
G001Day3Rest2.cnt,G001,40,1,spline,0.2809,230.128,-1.468,22
G001Day3Rest2.cnt,G001,40,2,nearest,0.3513,145.854,-0.667,22
G001Day3Rest2.cnt,G001,40,2,linear,0.991,5.095,28.469,22
