recording,subject,n_drop,pattern,trial,method,temporal_r,rmse_uv,sdr_db
G001Day3Rest1.cnt,G001,2,scattered,1,spline,0.0136,125.404,0.89
G001Day3Rest1.cnt,G001,2,scattered,2,nearest,-0.0034,180.756,-6.259
G001Day3Rest1.cnt,G001,2,scattered,2,linear,0.9968,5.839,23.555
G001Day3Rest1.cnt,G001,2,scattered,2,spline,-0.9913,168.221,-5.635
G001Day3Rest1.cnt,G001,2,contiguous,1,nearest,0.9791,39.239,5.121
G001Day3Rest1.cnt,G001,2,contiguous,1,linear,0.9974,3.848,25.291
G001Day3Rest1.cnt,G001,2,contiguous,1,spline,0.9986,33.415,6.517
G001Day3Rest1.cnt,G001,2,contiguous,2,nearest,0.0421,79.445,1.176
G001Day3Rest1.cnt,G001,2,contiguous,2,linear,0.9992,3.509,28.272
G001Day3Rest1.cnt,G001,2,contiguous,2,spline,0.9981,46.174,5.889
G001Day3Rest1.cnt,G001,8,scattered,1,nearest,0.3233,88.461,-0.158
G001Day3Rest1.cnt,G001,8,scattered,1,linear,0.9955,4.254,26.202
G001Day3Rest1.cnt,G001,8,scattered,1,spline,0.1342,92.133,-0.511
G001Day3Rest1.cnt,G001,8,scattered,2,nearest,0.2439,108.17,1.2
G001Day3Rest1.cnt,G001,8,scattered,2,linear,0.9949,5.517,27.048
G001Day3Rest1.cnt,G001,8,scattered,2,spline,0.5159,106.0,1.376
G001Day3Rest1.cnt,G001,8,contiguous,1,nearest,0.8416,69.138,5.731
G001Day3Rest1.cnt,G001,8,contiguous,1,linear,0.9708,6.944,25.693
G001Day3Rest1.cnt,G001,8,contiguous,1,spline,0.7819,76.064,4.902
G001Day3Rest1.cnt,G001,8,contiguous,2,nearest,0.7489,71.701,3.791
G001Day3Rest1.cnt,G001,8,contiguous,2,linear,0.9929,4.315,28.2
G001Day3Rest1.cnt,G001,8,contiguous,2,spline,0.7498,81.105,2.72
G001Day3Rest1.cnt,G001,16,scattered,1,nearest,0.1208,115.021,-6.233
G001Day3Rest1.cnt,G001,16,scattered,1,linear,0.9745,4.37,22.174
G001Day3Rest1.cnt,G001,16,scattered,1,spline,0.1255,92.519,-4.342
G001Day3Rest1.cnt,G001,16,scattered,2,nearest,0.5879,97.029,0.343
G001Day3Rest1.cnt,G001,16,scattered,2,linear,0.9646,4.417,27.179
G001Day3Rest1.cnt,G001,16,scattered,2,spline,0.4282,92.818,0.729
G001Day3Rest1.cnt,G001,16,contiguous,1,nearest,0.1336,121.115,-4.228
G001Day3Rest1.cnt,G001,16,contiguous,1,linear,0.9405,6.629,21.008
G001Day3Rest1.cnt,G001,16,contiguous,1,spline,0.4972,188.948,-8.09
G001Day3Rest1.cnt,G001,16,contiguous,2,nearest,0.1433,111.994,-0.702
G001Day3Rest1.cnt,G001,16,contiguous,2,linear,0.9895,4.715,26.813
G001Day3Rest1.cnt,G001,16,contiguous,2,spline,-0.0937,110.564,-0.59
G001Day3Rest2.cnt,G001,2,scattered,1,nearest,-0.9916,247.887,-4.303
G001Day3Rest2.cnt,G001,2,scattered,1,linear,0.9942,3.613,32.424
G001Day3Rest2.cnt,G001,2,scattered,1,spline,0.0068,148.825,0.129
G001Day3Rest2.cnt,G001,2,scattered,2,nearest,0.9963,42.791,9.598
G001Day3Rest2.cnt,G001,2,scattered,2,linear,0.9982,3.408,31.576
G001Day3Rest2.cnt,G001,2,scattered,2,spline,0.9979,73.085,4.949
G001Day3Rest2.cnt,G001,2,contiguous,1,nearest,0.0509,146.088,0.801
G001Day3Rest2.cnt,G001,2,contiguous,1,linear,0.9997,2.255,37.031
G001Day3Rest2.cnt,G001,2,contiguous,1,spline,0.9903,110.631,3.216
G001Day3Rest2.cnt,G001,2,contiguous,2,nearest,0.0509,146.088,0.801
G001Day3Rest2.cnt,G001,2,contiguous,2,linear,0.9997,2.255,37.031
G001Day3Rest2.cnt,G001,2,contiguous,2,spline,0.9903,110.631,3.216
G001Day3Rest2.cnt,G001,8,scattered,1,nearest,0.4988,155.331,-2.459
G001Day3Rest2.cnt,G001,8,scattered,1,linear,0.9981,3.272,31.07
G001Day3Rest2.cnt,G001,8,scattered,1,spline,0.28,116.31,0.054
G001Day3Rest2.cnt,G001,8,scattered,2,nearest,0.4974,180.358,-0.33
G001Day3Rest2.cnt,G001,8,scattered,2,linear,0.9971,6.145,29.023
G001Day3Rest2.cnt,G001,8,scattered,2,spline,0.7748,84.822,6.223
G001Day3Rest2.cnt,G001,8,contiguous,1,nearest,0.0045,178.92,-3.861
G001Day3Rest2.cnt,G001,8,contiguous,1,linear,0.993,4.087,28.965
G001Day3Rest2.cnt,G001,8,contiguous,1,spline,0.0185,150.734,-2.372
G001Day3Rest2.cnt,G001,8,contiguous,2,nearest,0.0161,151.304,-3.008
G001Day3Rest2.cnt,G001,8,contiguous,2,linear,0.9821,4.692,27.163
G001Day3Rest2.cnt,G001,8,contiguous,2,spline,-0.2455,117.257,-0.794
G001Day3Rest2.cnt,G001,16,scattered,1,nearest,0.6216,124.451,2.805
G001Day3Rest2.cnt,G001,16,scattered,1,linear,0.9938,5.046,30.646
G001Day3Rest2.cnt,G001,16,scattered,1,spline,0.4104,108.082,4.029
G001Day3Rest2.cnt,G001,16,scattered,2,nearest,0.2479,164.118,-0.917
G001Day3Rest2.cnt,G001,16,scattered,2,linear,0.9947,5.094,29.244
G001Day3Rest2.cnt,G001,16,scattered,2,spline,0.0457,156.878,-0.526
G001Day3Rest2.cnt,G001,16,contiguous,1,nearest,0.1366,202.278,-0.423
G001Day3Rest2.cnt,G001,16,contiguous,1,linear,0.9984,3.744,34.229
G001Day3Rest2.cnt,G001,16,contiguous,1,spline,0.8694,126.24,3.672
G001Day3Rest2.cnt,G001,16,contiguous,2,nearest,0.0129,160.153,-3.166
G001Day3Rest2.cnt,G001,16,contiguous,2,linear,0.9885,4.585,27.698
G001Day3Rest2.cnt,G001,16,contiguous,2,spline,-0.1247,249.801,-7.027
G001Day4Rest1.cnt,G001,2,scattered,1,nearest,-0.0479,295.889,-7.051
G001Day4Rest1.cnt,G001,2,scattered,1,linear,0.9654,3.236,32.172
G001Day4Rest1.cnt,G001,2,scattered,1,spline,0.0091,143.925,-0.791
G001Day4Rest1.cnt,G001,2,scattered,2,nearest,0.8167,267.056,-9.011
G001Day4Rest1.cnt,G001,2,scattered,2,linear,0.9994,2.834,30.472
G001Day4Rest1.cnt,G001,2,scattered,2,spline,0.8842,79.714,1.49
G001Day4Rest1.cnt,G001,2,contiguous,1,nearest,0.9944,109.253,4.044
G001Day4Rest1.cnt,G001,2,contiguous,1,linear,0.9991,5.66,29.756
G001Day4Rest1.cnt,G001,2,contiguous,1,spline,0.9851,141.861,1.775
G001Day4Rest1.cnt,G001,2,contiguous,2,nearest,0.0313,89.305,-7.902
G001Day4Rest1.cnt,G001,2,contiguous,2,linear,0.9948,4.04,18.988
G001Day4Rest1.cnt,G001,2,contiguous,2,spline,0.0051,128.122,-11.037
G001Day4Rest1.cnt,G001,8,scattered,1,nearest,0.5234,105.061,-4.148
G001Day4Rest1.cnt,G001,8,scattered,1,linear,0.9693,4.422,23.369
G001Day4Rest1.cnt,G001,8,scattered,1,spline,0.5002,90.999,-2.9
G001Day4Rest1.cnt,G001,8,scattered,2,nearest,0.6872,169.106,-3.371
G001Day4Rest1.cnt,G001,8,scattered,2,linear,0.969,4.174,28.781
G001Day4Rest1.cnt,G001,8,scattered,2,spline,0.4305,112.922,0.137
G001Day4Rest1.cnt,G001,8,contiguous,1,nearest,-0.3265,97.073,-0.739
G001Day4Rest1.cnt,G001,8,contiguous,1,linear,0.9967,3.788,27.434
G001Day4Rest1.cnt,G001,8,contiguous,1,spline,0.7549,102.176,-1.184
G001Day4Rest1.cnt,G001,8,contiguous,2,nearest,0.3073,119.076,-1.248
G001Day4Rest1.cnt,G001,8,contiguous,2,linear,0.9767,4.865,26.527
G001Day4Rest1.cnt,G001,8,contiguous,2,spline,0.5356,115.494,-0.983
G001Day4Rest1.cnt,G001,16,scattered,1,nearest,0.1209,92.329,-2.674
G001Day4Rest1.cnt,G001,16,scattered,1,linear,0.9803,3.712,25.239
G001Day4Rest1.cnt,G001,16,scattered,1,spline,0.3027,73.431,-0.685
G001Day4Rest1.cnt,G001,16,scattered,2,nearest,0.6201,160.621,-0.716
G001Day4Rest1.cnt,G001,16,scattered,2,linear,0.9394,93.439,3.99
G001Day4Rest1.cnt,G001,16,scattered,2,spline,0.2966,147.075,0.05
G001Day4Rest1.cnt,G001,16,contiguous,1,nearest,0.1701,140.122,-1.254
G001Day4Rest1.cnt,G001,16,contiguous,1,linear,0.9313,93.454,2.264
G001Day4Rest1.cnt,G001,16,contiguous,1,spline,0.1729,131.622,-0.71
G001Day4Rest1.cnt,G001,16,contiguous,2,nearest,0.389,139.584,-4.981
G001Day4Rest1.cnt,G001,16,contiguous,2,linear,0.979,4.652,24.563
G001Day4Rest1.cnt,G001,16,contiguous,2,spline,0.5263,213.043,-8.653
G001Day4Rest2.cnt,G001,2,scattered,1,nearest,0.0188,86.069,0.515
G001Day4Rest2.cnt,G001,2,scattered,1,linear,0.9985,3.406,28.566
G001Day4Rest2.cnt,G001,2,scattered,1,spline,0.0832,48.916,5.423
G001Day4Rest2.cnt,G001,2,scattered,2,nearest,0.0346,158.475,0.822
G001Day4Rest2.cnt,G001,2,scattered,2,linear,0.996,3.774,33.286
G001Day4Rest2.cnt,G001,2,scattered,2,spline,0.9891,156.226,0.946
G001Day4Rest2.cnt,G001,2,contiguous,1,nearest,0.7278,53.119,6.068
G001Day4Rest2.cnt,G001,2,contiguous,1,linear,0.7619,5.929,25.113
G001Day4Rest2.cnt,G001,2,contiguous,1,spline,0.3155,55.667,5.661
G001Day4Rest2.cnt,G001,2,contiguous,2,nearest,0.0081,246.337,-0.362
G001Day4Rest2.cnt,G001,2,contiguous,2,linear,0.9999,2.169,40.742
G001Day4Rest2.cnt,G001,2,contiguous,2,spline,-0.1972,248.211,-0.428
G001Day4Rest2.cnt,G001,8,scattered,1,nearest,0.2027,189.395,-5.182
G001Day4Rest2.cnt,G001,8,scattered,1,linear,0.9442,4.977,26.427
G001Day4Rest2.cnt,G001,8,scattered,1,spline,0.567,113.984,-0.771
G001Day4Rest2.cnt,G001,8,scattered,2,nearest,0.7984,174.449,-4.081
G001Day4Rest2.cnt,G001,8,scattered,2,linear,0.9899,5.895,25.342
G001Day4Rest2.cnt,G001,8,scattered,2,spline,0.0138,125.893,-1.248
G001Day4Rest2.cnt,G001,8,contiguous,1,nearest,0.2505,135.295,-1.194
G001Day4Rest2.cnt,G001,8,contiguous,1,linear,0.9897,6.54,25.12
G001Day4Rest2.cnt,G001,8,contiguous,1,spline,0.6821,108.37,0.733
G001Day4Rest2.cnt,G001,8,contiguous,2,nearest,0.4709,237.457,-4.943
G001Day4Rest2.cnt,G001,8,contiguous,2,linear,0.9985,4.588,29.337
G001Day4Rest2.cnt,G001,8,contiguous,2,spline,-0.471,202.729,-3.57
G001Day4Rest2.cnt,G001,16,scattered,1,nearest,0.0363,158.853,-1.026
G001Day4Rest2.cnt,G001,16,scattered,1,linear,0.9858,7.906,25.035
G001Day4Rest2.cnt,G001,16,scattered,1,spline,0.4004,121.525,1.301
G001Day4Rest2.cnt,G001,16,scattered,2,nearest,0.2672,173.42,-5.494
G001Day4Rest2.cnt,G001,16,scattered,2,linear,0.9892,6.638,22.847
G001Day4Rest2.cnt,G001,16,scattered,2,spline,0.5143,107.732,-1.358
G001Day4Rest2.cnt,G001,16,contiguous,1,nearest,0.3768,193.053,-2.413
G001Day4Rest2.cnt,G001,16,contiguous,1,linear,0.9826,103.908,2.967
G001Day4Rest2.cnt,G001,16,contiguous,1,spline,0.2553,227.133,-3.826
